Conformer,Initial PE (kcal/mol),Minimized PE (kcal/mol),RMS between initial and minimized conformer (Angstrom)
1,-47.047,-73.608,0.079
2,-54.188,-75.744,0.076
3,-62.768,-77.944,0.068
4,-70.683,-81.357,0.061
5,-77.477,-83.917,0.043
6,-76.216,-84.105,0.052
7,-45.382,-82.414,0.092
8,149.031,-78.253,0.124
9,382.667,-73.629,0.141
10,94.576,-74.071,0.106
11,-49.423,-77.259,0.079
12,-69.210,-79.207,0.061
13,-71.767,-80.362,0.056
14,-73.549,-81.212,0.053
15,-75.305,-81.803,0.046
16,-76.193,-82.190,0.041
17,-76.201,-82.125,0.040
18,-74.982,-80.977,0.042
19,-70.529,-78.894,0.063
20,-52.118,-75.955,0.094
21,-21.621,-72.128,0.099
22,-41.899,-71.006,0.088
23,-55.135,-71.151,0.074
24,-49.965,-72.073,0.078
25,-27.542,-71.900,0.096
26,-36.795,-73.973,0.094
27,-54.207,-76.553,0.087
28,-63.657,-78.766,0.080
29,-67.328,-80.230,0.070
30,-66.741,-80.407,0.071
31,-45.221,-78.522,0.086
32,-24.688,-76.026,0.092
33,-40.349,-75.308,0.089
34,-48.631,-75.140,0.085
35,-47.250,-75.345,0.086
36,-55.060,-76.585,0.078
37,-66.905,-79.199,0.066
38,-73.090,-81.494,0.054
39,-75.246,-82.833,0.050
40,-75.473,-83.155,0.051
41,-74.905,-82.689,0.051
42,-74.269,-81.680,0.048
43,-73.379,-80.295,0.046
44,-72.093,-78.993,0.047
45,-70.327,-77.990,0.052
46,-66.226,-76.553,0.063
47,-56.158,-74.121,0.076
48,-38.972,-72.226,0.094
49,-26.840,-70.327,0.094
50,-36.640,-73.093,0.094
51,-55.053,-76.650,0.089
52,-67.334,-80.130,0.078
53,-73.103,-82.287,0.059
54,-74.406,-82.601,0.051
55,-66.014,-81.267,0.075
56,-21.311,-78.392,0.101
57,31.108,-75.517,0.104
58,-21.324,-77.961,0.098
59,-61.320,-80.451,0.085
60,-69.807,-81.118,0.065
61,-71.897,-81.589,0.058
62,-73.368,-82.242,0.055
63,-74.420,-82.906,0.053
64,-74.655,-83.196,0.054
65,-74.274,-82.930,0.054
66,-73.812,-82.058,0.051
67,-73.047,-80.493,0.047
68,-71.174,-78.182,0.045
69,-68.412,-76.201,0.050
70,-64.277,-74.574,0.059
71,-54.564,-72.379,0.070
72,-37.748,-70.125,0.086
73,-67.927,-74.944,0.041
74,-66.198,-75.436,0.049
75,-49.141,-76.696,0.085
76,-47.175,-80.658,0.097
77,-71.365,-83.874,0.068
78,-74.690,-84.858,0.058
79,-73.797,-84.314,0.058
80,-66.837,-82.886,0.071
81,-31.112,-80.745,0.096
82,-3.911,-78.937,0.103
83,-46.003,-80.606,0.090
84,-70.710,-82.828,0.072
85,-74.696,-83.698,0.057
86,-74.224,-83.152,0.058
