Conformer,Initial PE (kcal/mol),Minimized PE (kcal/mol),RMS between initial and minimized conformer (Angstrom)
1,-26.570,-39.810,0.068
2,-28.886,-41.613,0.070
3,-31.973,-43.488,0.068
4,-33.817,-45.151,0.065
5,-35.644,-46.866,0.063
6,-37.122,-47.470,0.058
7,-29.859,-46.137,0.067
8,-20.700,-45.421,0.074
9,-29.122,-47.936,0.072
10,-39.164,-51.197,0.060
11,-43.508,-53.424,0.052
12,-45.318,-54.318,0.049
13,-44.960,-53.831,0.050
14,-43.364,-52.164,0.051
15,-41.895,-50.567,0.051
16,-40.808,-49.443,0.051
17,-39.790,-48.420,0.052
18,-38.435,-47.032,0.050
19,-36.478,-45.116,0.051
20,-34.447,-43.212,0.051
21,-32.913,-41.880,0.051
22,-31.267,-40.864,0.054
23,-29.048,-39.654,0.058
24,-26.883,-39.081,0.064
25,-36.956,-45.263,0.053
26,-38.175,-46.398,0.053
27,-39.871,-47.745,0.050
28,-41.581,-49.161,0.048
29,-42.849,-50.320,0.048
30,-42.989,-50.671,0.049
31,-38.908,-49.664,0.061
32,-22.133,-47.455,0.086
33,-6.506,-44.917,0.091
34,-23.375,-45.446,0.074
35,-37.761,-48.113,0.059
36,-40.927,-49.290,0.052
37,-41.246,-49.483,0.051
38,-41.505,-49.570,0.051
39,-41.957,-49.826,0.049
40,-42.235,-49.997,0.048
41,-41.966,-49.655,0.048
42,-40.619,-48.531,0.050
43,-36.798,-46.651,0.062
44,-26.158,-44.302,0.080
45,-16.627,-42.204,0.083
46,-27.075,-42.232,0.071
47,-34.349,-43.528,0.058
48,-36.195,-44.363,0.052
49,-35.208,-43.813,0.052
50,-36.629,-44.892,0.053
51,-37.733,-45.870,0.053
52,-39.029,-47.087,0.052
53,-41.070,-48.851,0.050
54,-41.992,-49.895,0.050
55,-40.773,-49.669,0.055
56,-33.574,-48.270,0.071
57,-18.367,-46.045,0.089
58,-19.059,-44.634,0.081
59,-33.042,-46.063,0.063
60,-38.576,-47.731,0.053
61,-39.436,-48.322,0.053
62,-39.641,-48.397,0.052
63,-39.869,-48.516,0.051
64,-40.047,-48.719,0.050
65,-39.963,-48.768,0.050
66,-39.086,-48.009,0.050
67,-36.870,-46.576,0.058
68,-31.684,-44.483,0.070
69,-21.798,-42.384,0.084
70,-21.698,-41.100,0.081
71,-30.090,-41.637,0.063
72,-33.647,-42.794,0.055
73,-32.426,-42.519,0.062
74,-33.038,-43.022,0.062
75,-34.862,-44.060,0.059
76,-36.853,-45.403,0.056
77,-38.034,-46.094,0.052
78,-36.251,-45.487,0.056
79,-28.969,-43.824,0.065
80,-25.521,-43.140,0.067
81,-31.299,-44.153,0.064
82,-34.438,-44.845,0.060
83,-34.951,-44.918,0.059
84,-36.131,-45.209,0.055
85,-37.796,-45.980,0.052
86,-39.188,-46.901,0.050
87,-40.151,-47.644,0.049
88,-40.566,-47.958,0.049
89,-40.258,-47.606,0.049
90,-38.896,-46.504,0.050
91,-36.782,-45.015,0.052
92,-35.986,-44.191,0.052
93,-36.376,-44.183,0.050
94,-36.197,-44.091,0.050
95,-35.115,-43.534,0.053
96,-33.465,-42.834,0.057
97,-35.010,-44.661,0.058
98,-37.087,-46.256,0.056
99,-39.273,-47.875,0.054
100,-41.190,-49.385,0.050
101,-41.808,-50.263,0.051
102,-40.871,-50.403,0.055
103,-40.610,-50.473,0.056
104,-35.531,-50.024,0.071
105,-15.343,-48.358,0.094
106,-4.692,-46.413,0.094
107,-26.532,-47.189,0.074
108,-39.260,-49.420,0.057
109,-41.394,-50.300,0.052
110,-41.399,-50.235,0.052
111,-41.377,-50.160,0.052
112,-41.387,-50.191,0.051
113,-41.082,-49.935,0.050
114,-40.138,-49.064,0.051
115,-38.587,-47.787,0.053
116,-35.413,-46.152,0.063
117,-27.441,-44.076,0.079
118,-19.801,-42.275,0.085
119,-26.682,-42.234,0.074
120,-32.624,-43.363,0.064
121,-35.194,-44.452,0.057
122,-36.002,-44.839,0.056
123,-37.299,-45.731,0.055
124,-38.647,-46.904,0.054
125,-39.580,-47.833,0.054
126,-38.728,-47.691,0.057
127,-32.365,-46.023,0.068
128,-22.725,-43.800,0.075
129,-25.815,-43.443,0.072
130,-33.120,-44.731,0.062
131,-35.478,-45.733,0.060
132,-36.230,-46.035,0.059
133,-37.131,-46.352,0.056
134,-38.183,-46.956,0.054
135,-39.115,-47.693,0.052
136,-39.644,-48.147,0.051
137,-39.439,-47.937,0.051
138,-37.969,-46.850,0.054
139,-33.903,-45.306,0.066
140,-28.257,-43.486,0.073
141,-29.640,-43.222,0.069
142,-33.417,-43.979,0.062
143,-34.777,-44.650,0.060
144,-34.990,-44.490,0.056
145,-33.568,-43.544,0.062
146,-34.272,-44.165,0.062
147,-35.817,-45.044,0.060
148,-37.372,-46.089,0.059
149,-38.827,-46.967,0.053
150,-37.995,-46.653,0.053
151,-30.791,-44.802,0.065
152,-23.166,-43.264,0.072
153,-28.416,-43.738,0.068
154,-34.010,-44.950,0.064
155,-35.047,-45.127,0.062
156,-35.478,-45.144,0.060
157,-36.598,-45.495,0.057
158,-37.907,-46.178,0.053
159,-38.985,-46.897,0.052
160,-39.620,-47.285,0.050
161,-39.566,-47.070,0.049
162,-38.443,-46.041,0.050
163,-36.177,-44.479,0.052
164,-35.016,-43.480,0.052
165,-35.807,-43.599,0.050
166,-36.161,-43.856,0.050
167,-35.496,-43.691,0.053
168,-34.255,-43.412,0.058
169,-36.741,-45.278,0.053
170,-37.451,-46.042,0.054
171,-37.291,-46.551,0.056
172,-39.257,-48.118,0.054
173,-41.337,-49.759,0.051
174,-40.993,-50.228,0.054
175,-41.512,-50.531,0.052
176,-39.964,-50.259,0.057
177,-32.917,-48.891,0.071
178,-29.934,-47.720,0.071
179,-36.869,-48.552,0.059
180,-41.045,-49.934,0.051
181,-41.677,-50.375,0.050
182,-41.596,-50.204,0.050
183,-41.483,-49.993,0.049
184,-41.494,-50.035,0.048
185,-41.055,-49.687,0.048
186,-39.908,-48.650,0.049
187,-38.438,-47.375,0.050
188,-35.735,-45.738,0.057
189,-31.187,-44.058,0.068
190,-29.994,-43.051,0.067
191,-33.559,-43.426,0.057
192,-35.640,-44.232,0.050
193,-37.534,-45.644,0.053
194,-37.406,-45.682,0.054
195,-31.619,-44.709,0.069
196,-4.563,-43.914,0.098
197,4.741,-44.479,0.109
198,-29.771,-45.817,0.072
199,-35.711,-46.998,0.061
200,-23.294,-45.369,0.077
201,-20.185,-43.977,0.074
202,-31.831,-45.304,0.063
203,-37.655,-46.953,0.056
204,-38.884,-47.642,0.054
205,-39.337,-47.818,0.053
206,-39.679,-47.780,0.051
207,-38.872,-47.237,0.053
208,-33.814,-46.278,0.065
209,-32.666,-45.646,0.067
210,-37.528,-45.814,0.052
211,-35.010,-45.057,0.059
212,-26.585,-43.327,0.075
213,-25.648,-42.399,0.070
214,-32.675,-43.324,0.061
215,-35.887,-44.333,0.053
216,-36.942,-45.089,0.052
217,-30.597,-39.785,0.057
218,-31.952,-41.092,0.058
219,-34.130,-42.853,0.057
220,-36.383,-44.701,0.056
221,-37.988,-45.897,0.052
222,-37.143,-45.859,0.054
223,-30.779,-44.757,0.063
224,-26.415,-45.114,0.070
225,-33.536,-47.586,0.069
226,-39.224,-49.589,0.061
227,-40.281,-50.259,0.061
228,-39.895,-50.472,0.068
229,-39.465,-48.835,0.060
230,-39.264,-47.916,0.056
231,-39.196,-47.421,0.053
232,-38.878,-46.919,0.052
233,-37.878,-45.888,0.051
234,-35.623,-44.183,0.054
235,-32.180,-42.014,0.059
236,-30.684,-40.386,0.058
237,-31.320,-39.772,0.052
238,-31.452,-39.498,0.051
239,-31.022,-39.204,0.051
240,-30.479,-39.178,0.054
241,-34.641,-43.587,0.055
242,-35.283,-44.363,0.056
243,-35.781,-45.317,0.059
244,-38.769,-47.395,0.055
245,-40.413,-48.809,0.053
246,-39.695,-49.076,0.055
247,-40.499,-49.258,0.052
248,-38.206,-48.620,0.060
249,-29.728,-47.005,0.075
250,-28.010,-45.688,0.069
251,-36.326,-47.142,0.060
252,-40.419,-48.718,0.050
253,-41.040,-49.175,0.050
254,-41.063,-49.016,0.049
