Conformer,Initial PE (kcal/mol),Minimized PE (kcal/mol),RMS between initial and minimized conformer (Angstrom)
255,-41.087,-48.891,0.048
256,-40.992,-48.777,0.047
257,-40.294,-48.084,0.047
258,-39.146,-46.900,0.047
259,-37.570,-45.403,0.048
260,-34.952,-43.493,0.054
261,-32.275,-41.673,0.058
262,-32.701,-41.075,0.052
263,-33.984,-41.762,0.049
264,-34.247,-42.641,0.051
265,-37.222,-45.281,0.052
266,-38.269,-46.066,0.052
267,-39.706,-47.179,0.048
268,-41.190,-48.493,0.047
269,-42.403,-49.670,0.047
270,-42.704,-50.138,0.047
271,-39.622,-49.249,0.057
272,-27.908,-47.111,0.075
273,-18.835,-45.289,0.079
274,-29.763,-45.847,0.063
275,-38.551,-47.981,0.054
276,-40.515,-48.890,0.050
277,-40.836,-49.074,0.050
278,-41.251,-49.293,0.049
279,-41.795,-49.703,0.048
280,-42.123,-49.991,0.047
281,-41.873,-49.727,0.047
282,-40.556,-48.595,0.048
283,-36.963,-46.786,0.059
284,-27.986,-44.534,0.077
285,-21.769,-42.866,0.080
286,-29.957,-43.187,0.068
287,-35.154,-44.212,0.056
288,-36.548,-44.788,0.052
289,-34.390,-44.778,0.059
290,-36.412,-46.114,0.056
291,-38.896,-47.535,0.052
292,-41.227,-49.227,0.049
293,-42.552,-50.543,0.049
294,-42.425,-50.957,0.051
295,-39.977,-50.692,0.061
296,-25.086,-49.505,0.090
297,9.704,-46.862,0.108
298,3.994,-44.860,0.094
299,-28.996,-46.780,0.071
300,-39.844,-49.196,0.057
301,-41.343,-50.057,0.055
302,-41.551,-50.179,0.054
303,-41.826,-50.330,0.053
304,-42.011,-50.472,0.051
305,-41.789,-50.254,0.051
306,-40.847,-49.394,0.052
307,-38.820,-47.925,0.057
308,-34.512,-46.196,0.073
309,-26.288,-43.858,0.080
310,-24.206,-42.649,0.079
311,-30.478,-43.178,0.072
312,-33.187,-43.828,0.061
313,-30.464,-40.141,0.061
314,-31.941,-41.397,0.059
315,-34.515,-43.543,0.061
316,-37.112,-45.500,0.055
317,-38.911,-46.827,0.052
318,-37.953,-46.626,0.053
319,-30.007,-45.324,0.065
320,-23.214,-45.535,0.072
321,-32.420,-48.467,0.071
322,-41.250,-51.207,0.057
323,-44.384,-53.266,0.058
324,-44.973,-53.708,0.059
325,-44.256,-52.604,0.056
326,-43.249,-51.218,0.054
327,-42.488,-50.201,0.052
328,-41.829,-49.431,0.051
329,-40.851,-48.364,0.050
330,-39.024,-46.732,0.053
331,-36.181,-44.615,0.056
332,-34.096,-42.714,0.056
333,-33.711,-41.701,0.053
334,-33.143,-40.952,0.052
335,-31.981,-40.113,0.053
336,-30.731,-39.615,0.057
337,-32.640,-42.078,0.057
338,-33.426,-42.699,0.056
339,-34.997,-43.867,0.055
340,-36.666,-45.103,0.053
341,-37.728,-45.965,0.051
342,-36.232,-45.521,0.055
343,-29.337,-43.749,0.064
344,-24.427,-42.573,0.069
345,-29.537,-43.156,0.063
346,-33.448,-44.213,0.060
347,-34.418,-44.773,0.059
348,-35.669,-45.223,0.055
349,-37.314,-46.012,0.053
350,-38.573,-46.770,0.051
351,-39.307,-47.313,0.049
352,-39.473,-47.448,0.049
353,-38.880,-46.926,0.049
354,-37.014,-45.625,0.053
355,-33.423,-44.052,0.061
356,-31.319,-42.716,0.063
357,-32.761,-42.593,0.057
358,-33.735,-42.754,0.054
359,-33.550,-42.442,0.053
360,-32.915,-42.049,0.055
361,-33.508,-43.297,0.058
362,-4.326,-40.586,0.102
363,389.304,-36.018,0.162
364,1362.053,-4.440,0.167
365,276.521,-41.176,0.148
366,-24.940,-47.351,0.082
367,-41.654,-50.246,0.053
368,-36.787,-49.576,0.070
369,-25.398,-47.506,0.083
370,-26.273,-46.371,0.076
371,-36.512,-47.885,0.060
372,-40.093,-49.133,0.055
373,-39.134,-48.308,0.056
374,-27.652,-46.752,0.089
375,76.247,-44.136,0.121
376,89.094,-40.929,0.116
377,-26.509,-44.771,0.079
378,-38.265,-46.286,0.049
379,-36.928,-45.731,0.054
380,-31.975,-43.940,0.069
381,-26.932,-41.909,0.073
382,-30.552,-41.582,0.062
383,-34.451,-42.675,0.051
384,-35.422,-43.740,0.051
385,-33.355,-41.623,0.052
386,-34.739,-42.667,0.052
387,-36.060,-43.740,0.051
388,-36.362,-44.591,0.054
389,-36.857,-45.538,0.056
390,-37.731,-46.086,0.052
391,-31.443,-45.120,0.062
392,-20.924,-43.479,0.072
393,-25.294,-43.288,0.067
394,-33.150,-43.964,0.057
395,-34.966,-44.179,0.055
396,-35.323,-44.019,0.052
397,-36.030,-44.210,0.051
398,-36.794,-44.607,0.049
399,-37.328,-44.973,0.048
400,-37.332,-44.977,0.047
401,-36.746,-44.479,0.048
402,-35.166,-43.434,0.050
403,-30.036,-41.708,0.062
404,-22.383,-39.597,0.070
405,-24.354,-39.090,0.068
406,-29.216,-39.568,0.060
407,-31.282,-40.219,0.055
408,-32.330,-40.823,0.053
409,-35.232,-43.967,0.054
410,-34.763,-43.958,0.057
411,-26.620,-43.196,0.078
412,-9.330,-42.926,0.100
413,-23.836,-44.375,0.081
414,-38.468,-47.384,0.055
415,-37.758,-47.739,0.057
416,-26.952,-45.707,0.075
417,-18.600,-43.981,0.080
418,-28.344,-44.642,0.067
419,-36.377,-46.433,0.057
420,-38.158,-47.175,0.054
421,-38.319,-47.178,0.053
422,-38.179,-46.814,0.052
423,-36.449,-45.877,0.056
424,-33.790,-45.087,0.065
425,-36.693,-45.505,0.052
426,-37.130,-45.755,0.050
427,-33.350,-44.164,0.061
428,-23.820,-41.819,0.075
429,-19.518,-40.401,0.078
430,-28.243,-41.099,0.066
431,-33.032,-42.274,0.055
432,-34.521,-43.244,0.053
433,-35.356,-43.949,0.053
434,-36.929,-45.120,0.052
435,-38.503,-46.365,0.051
436,-40.371,-48.037,0.051
437,-42.413,-49.920,0.051
438,-43.254,-50.935,0.052
439,-42.241,-50.936,0.056
440,-34.378,-49.915,0.074
441,-13.839,-47.861,0.094
442,-11.598,-46.208,0.090
443,-31.965,-47.279,0.066
444,-40.577,-49.092,0.052
445,-41.650,-49.619,0.050
446,-41.538,-49.483,0.050
447,-41.576,-49.439,0.048
448,-41.677,-49.591,0.048
449,-41.549,-49.575,0.048
450,-40.723,-48.894,0.048
451,-38.697,-47.554,0.053
452,-33.799,-45.781,0.070
453,-22.098,-43.757,0.088
454,-17.304,-42.084,0.088
455,-28.178,-42.110,0.071
456,-33.514,-42.997,0.059
457,-31.268,-40.374,0.055
458,-32.654,-41.547,0.056
459,-34.667,-43.225,0.055
460,-36.723,-44.955,0.052
461,-38.266,-46.498,0.052
462,-39.389,-47.626,0.051
463,-39.587,-47.805,0.050
464,-35.099,-46.332,0.057
465,-25.280,-44.396,0.068
466,-27.211,-44.919,0.064
467,-37.331,-47.607,0.053
468,-41.123,-49.534,0.051
469,-41.477,-49.905,0.051
470,-41.318,-49.783,0.051
471,-41.168,-49.621,0.051
472,-40.807,-49.271,0.050
473,-39.949,-48.408,0.049
474,-38.429,-46.900,0.049
475,-35.837,-44.642,0.051
476,-30.794,-41.776,0.060
477,-23.870,-39.167,0.070
478,-25.106,-38.355,0.064
479,-29.317,-38.965,0.056
480,-30.584,-39.612,0.053
481,-29.246,-38.761,0.060
482,-30.872,-39.870,0.059
483,-32.818,-41.499,0.059
484,-34.788,-43.438,0.059
485,-36.503,-45.211,0.060
486,-37.105,-46.092,0.060
487,-34.758,-45.834,0.065
488,-31.147,-45.415,0.068
489,-33.784,-46.922,0.067
490,-38.520,-49.350,0.064
491,-40.410,-50.927,0.063
492,-40.362,-51.730,0.068
493,-39.544,-51.193,0.070
494,-38.760,-50.012,0.069
495,-38.258,-48.866,0.065
496,-37.808,-48.076,0.062
497,-36.908,-46.952,0.061
498,-34.894,-45.150,0.061
499,-30.571,-42.760,0.067
500,-25.239,-40.465,0.072
501,-25.482,-39.534,0.071
502,-27.333,-38.951,0.066
503,-27.813,-38.486,0.062
504,-28.226,-38.249,0.061
505,-32.697,-41.306,0.055
506,-27.762,-40.650,0.072
507,-11.610,-40.159,0.099
508,-20.652,-41.719,0.084
509,-32.471,-44.306,0.066
510,-29.111,-45.532,0.073
511,-33.922,-46.880,0.064
512,-38.849,-48.022,0.054
513,-36.302,-47.550,0.059
514,-34.206,-46.971,0.060
515,-38.462,-48.189,0.054
516,-41.597,-49.560,0.048
517,-41.904,-49.780,0.049
518,-40.781,-48.769,0.050
519,-38.937,-47.470,0.053
520,-39.625,-47.544,0.049
521,-38.665,-47.173,0.051
522,-36.134,-45.693,0.056
523,-35.807,-44.599,0.052
524,-34.203,-43.286,0.055
525,-30.781,-41.441,0.062
526,-29.479,-40.091,0.059
527,-31.401,-40.268,0.055
528,-32.568,-40.921,0.052
529,-33.669,-43.401,0.059
530,-1.961,-40.841,0.098
531,216.423,-38.485,0.146
532,209.581,-39.410,0.141
533,-8.654,-45.360,0.097
534,-36.923,-48.839,0.064
535,-39.625,-49.940,0.059
536,-39.480,-49.722,0.059
537,-33.847,-48.315,0.068
538,-31.570,-47.324,0.068
539,-37.251,-48.322,0.059
540,-40.494,-49.498,0.052
541,-40.128,-49.079,0.053
542,-33.095,-47.396,0.074
543,-9.671,-44.502,0.092
544,-26.087,-45.201,0.080
545,-38.034,-46.878,0.052
546,-37.996,-46.879,0.052
547,-36.849,-45.773,0.053
548,-34.299,-44.267,0.059
549,-30.577,-42.769,0.069
550,-30.949,-42.034,0.063
551,-33.956,-42.637,0.053
552,-35.272,-43.725,0.052
553,-31.519,-39.924,0.053
554,-32.426,-40.838,0.054
555,-34.090,-42.238,0.054
556,-35.933,-43.817,0.054
557,-37.215,-44.886,0.051
558,-36.437,-45.093,0.054
559,-33.284,-45.026,0.061
560,-33.552,-46.235,0.066
561,-37.002,-48.173,0.065
562,-38.237,-49.630,0.069
563,-38.058,-50.364,0.078
564,-38.146,-49.262,0.071
565,-38.316,-48.025,0.064
566,-38.481,-46.908,0.057
567,-38.637,-46.567,0.054
568,-38.482,-46.199,0.052
569,-37.550,-45.322,0.052
570,-35.320,-43.831,0.056
571,-32.520,-42.078,0.059
572,-31.746,-40.796,0.056
573,-31.950,-40.123,0.052
574,-31.873,-39.772,0.051
575,-31.696,-39.564,0.050
576,-31.481,-39.558,0.051
577,-32.961,-41.794,0.056
578,-33.608,-42.490,0.056
579,-33.368,-42.861,0.059
580,-30.583,-43.433,0.071
581,-32.763,-44.663,0.066
582,-36.986,-45.888,0.055
583,-31.685,-45.072,0.064
584,-20.456,-43.222,0.073
585,-24.107,-43.608,0.071
586,-33.746,-45.055,0.060
587,-36.899,-45.888,0.054
588,-37.331,-45.933,0.053
589,-37.490,-45.812,0.052
590,-37.740,-45.794,0.050
591,-37.753,-45.677,0.049
592,-37.286,-45.278,0.050
593,-37.056,-44.911,0.049
594,-35.504,-43.961,0.052
595,-30.442,-42.007,0.062
596,-25.102,-40.150,0.068
597,-28.026,-40.054,0.063
598,-31.517,-40.626,0.055
599,-32.619,-41.128,0.052
600,-32.757,-41.381,0.054
601,-31.286,-41.874,0.061
602,-32.700,-42.500,0.058
603,-34.794,-43.727,0.056
604,-36.828,-45.215,0.053
605,-38.256,-46.436,0.052
606,-37.493,-46.480,0.055
607,-29.488,-44.933,0.068
608,-16.454,-43.163,0.078
609,-21.285,-43.298,0.074
610,-31.692,-44.231,0.062
611,-34.699,-44.594,0.055
612,-35.327,-44.538,0.053
613,-36.012,-44.864,0.054
614,-36.819,-45.411,0.053
615,-37.553,-46.050,0.052
616,-37.936,-46.487,0.052
617,-37.667,-46.322,0.052
618,-36.297,-45.309,0.054
619,-32.856,-43.473,0.060
620,-27.786,-41.937,0.070
621,-27.558,-41.454,0.071
622,-30.091,-41.751,0.064
623,-30.968,-41.900,0.061
624,-30.961,-41.792,0.061
625,-37.092,-45.167,0.052
626,-38.068,-45.894,0.052
627,-39.442,-46.996,0.051
628,-40.872,-48.220,0.048
629,-42.011,-49.360,0.048
630,-42.078,-49.725,0.049
631,-38.081,-48.680,0.060
632,-25.067,-46.364,0.077
633,-18.288,-44.428,0.076
634,-30.478,-45.417,0.062
635,-38.281,-47.469,0.053
636,-39.938,-48.305,0.050
637,-40.294,-48.495,0.050
638,-40.768,-48.778,0.049
639,-41.342,-49.250,0.048
640,-41.659,-49.557,0.047
641,-41.343,-49.254,0.047
642,-39.851,-48.123,0.049
643,-35.702,-46.274,0.061
644,-25.991,-43.833,0.076
645,-22.291,-42.282,0.075
646,-30.978,-43.088,0.063
647,-35.346,-44.087,0.053
648,-36.501,-44.723,0.051
649,-36.082,-44.414,0.052
650,-37.697,-45.602,0.051
651,-39.415,-46.902,0.047
652,-41.351,-48.596,0.047
653,-42.484,-50.017,0.049
654,-42.116,-50.596,0.052
655,-42.449,-50.961,0.053
656,-39.051,-50.657,0.065
657,-25.097,-48.907,0.083
658,-18.367,-47.444,0.088
659,-33.002,-48.029,0.066
660,-41.619,-49.934,0.051
661,-42.944,-50.623,0.048
662,-42.826,-50.515,0.048
663,-42.768,-50.445,0.047
664,-42.740,-50.464,0.046
665,-42.371,-50.165,0.046
666,-41.305,-49.215,0.047
667,-39.693,-47.870,0.048
668,-36.534,-46.184,0.058
669,-29.189,-44.254,0.075
670,-23.397,-42.468,0.076
671,-29.627,-42.625,0.068
672,-34.288,-43.448,0.057
673,-36.496,-45.070,0.051
674,-37.332,-45.678,0.051
675,-38.490,-46.556,0.050
676,-39.661,-47.556,0.049
677,-40.413,-48.311,0.049
678,-39.196,-48.000,0.052
679,-32.364,-46.314,0.065
680,-24.254,-44.418,0.072
681,-28.059,-44.331,0.068
682,-33.453,-45.239,0.064
683,-34.906,-45.506,0.059
684,-35.981,-45.970,0.058
685,-37.471,-46.547,0.054
686,-38.741,-47.304,0.052
687,-39.680,-48.017,0.051
688,-40.194,-48.442,0.050
689,-40.021,-48.247,0.049
690,-38.446,-47.140,0.052
691,-33.506,-45.353,0.063
692,-26.714,-43.826,0.073
693,-29.060,-43.655,0.072
694,-33.495,-44.299,0.064
695,-35.223,-44.533,0.055
696,-35.935,-44.754,0.053
697,-31.900,-40.205,0.053
698,-32.910,-41.136,0.054
699,-34.371,-42.422,0.054
700,-36.018,-43.931,0.053
701,-37.370,-45.220,0.053
702,-37.156,-45.590,0.054
703,-33.538,-45.281,0.062
704,-31.091,-45.622,0.066
705,-35.091,-47.881,0.069
706,-38.233,-49.807,0.069
707,-38.560,-50.574,0.072
708,-38.401,-50.078,0.071
709,-38.433,-48.818,0.065
710,-38.468,-47.739,0.059
711,-38.495,-47.193,0.055
712,-38.325,-46.783,0.054
713,-37.478,-45.938,0.053
714,-35.075,-44.381,0.057
715,-30.499,-42.222,0.064
716,-28.128,-40.614,0.066
717,-29.593,-39.734,0.059
718,-30.474,-39.379,0.055
719,-30.831,-39.388,0.054
720,-31.293,-39.646,0.053
721,-36.184,-44.469,0.053
722,-37.287,-45.415,0.052
723,-38.856,-46.692,0.051
724,-40.546,-48.159,0.050
725,-41.944,-49.409,0.047
726,-42.355,-50.001,0.048
727,-38.998,-49.279,0.059
728,-23.557,-47.415,0.083
729,-5.970,-44.795,0.091
730,-21.022,-45.166,0.076
731,-36.784,-47.506,0.058
732,-40.405,-48.776,0.052
733,-40.628,-48.930,0.051
734,-40.740,-48.919,0.050
735,-41.127,-49.154,0.049
736,-41.441,-49.416,0.048
737,-41.263,-49.227,0.048
738,-40.036,-48.226,0.049
739,-36.285,-46.695,0.063
740,-24.947,-44.552,0.086
741,-11.863,-42.270,0.092
742,-23.375,-41.808,0.076
743,-32.886,-42.862,0.061
744,-35.324,-43.740,0.054
745,-31.054,-39.897,0.056
746,-31.912,-40.833,0.057
747,-30.438,-41.372,0.064
748,-25.321,-42.393,0.079
749,-30.895,-44.482,0.073
750,-38.394,-46.656,0.052
751,-36.172,-46.253,0.055
752,-23.018,-43.892,0.068
753,-16.947,-43.441,0.071
754,-31.307,-46.523,0.062
755,-40.611,-49.509,0.053
756,-42.740,-50.823,0.052
757,-42.526,-50.758,0.053
758,-41.639,-49.908,0.053
759,-40.287,-48.548,0.052
760,-38.775,-47.165,0.053
761,-38.417,-46.418,0.049
762,-37.006,-45.165,0.050
763,-32.658,-42.572,0.057
764,-24.412,-39.451,0.066
765,-22.397,-37.736,0.066
766,-27.641,-38.116,0.059
767,-29.857,-38.578,0.053
768,-30.393,-39.089,0.054
769,-34.439,-42.629,0.053
770,-35.225,-43.308,0.054
771,-36.642,-44.537,0.054
772,-38.276,-45.880,0.051
773,-39.676,-47.188,0.049
774,-39.901,-47.488,0.049
775,-35.522,-46.251,0.062
776,-20.688,-43.542,0.079
777,-13.329,-42.183,0.080
778,-27.992,-43.905,0.066
779,-36.965,-45.991,0.054
780,-38.730,-46.747,0.050
781,-39.037,-46.886,0.050
782,-39.470,-47.170,0.049
783,-40.005,-47.650,0.048
784,-40.309,-47.931,0.047
785,-39.934,-47.536,0.047
786,-38.290,-46.263,0.050
787,-33.683,-44.276,0.064
788,-24.322,-41.833,0.077
789,-23.331,-40.481,0.075
790,-30.812,-41.156,0.060
791,-33.807,-42.021,0.052
792,-34.293,-42.368,0.052
793,-35.588,-44.456,0.053
794,-36.581,-45.348,0.053
795,-38.315,-46.744,0.053
796,-40.242,-48.383,0.051
797,-41.846,-49.843,0.050
798,-42.565,-50.574,0.050
799,-40.594,-49.965,0.056
800,-30.212,-48.018,0.075
801,-15.980,-45.935,0.087
802,-24.608,-45.800,0.072
803,-37.299,-48.024,0.057
804,-40.673,-49.321,0.052
805,-41.053,-49.457,0.051
806,-41.265,-49.456,0.050
807,-41.596,-49.696,0.049
808,-41.774,-49.890,0.049
809,-41.457,-49.611,0.049
810,-40.214,-48.588,0.051
811,-37.143,-46.893,0.060
812,-30.767,-44.657,0.074
813,-27.832,-42.728,0.071
814,-32.718,-42.864,0.060
815,-35.260,-43.682,0.053
816,-35.494,-44.054,0.050
817,-29.151,-38.971,0.056
818,-30.624,-40.082,0.057
819,-32.620,-41.548,0.056
820,-34.721,-43.397,0.055
821,-36.613,-45.218,0.055
822,-37.914,-46.510,0.055
823,-37.217,-46.506,0.057
824,-29.948,-44.855,0.068
825,-18.057,-43.121,0.076
826,-24.097,-44.094,0.069
827,-35.969,-47.119,0.058
828,-39.574,-48.859,0.055
829,-39.682,-49.191,0.056
830,-39.304,-48.999,0.057
831,-39.034,-48.778,0.057
832,-38.725,-48.532,0.056
833,-38.053,-47.765,0.055
834,-36.626,-46.270,0.054
835,-33.714,-43.868,0.057
836,-27.181,-40.993,0.071
837,-16.879,-38.102,0.079
838,-19.083,-37.294,0.075
839,-25.906,-37.975,0.063
840,-28.111,-38.371,0.057
841,-30.885,-39.764,0.055
842,-32.133,-41.124,0.059
843,-34.226,-42.888,0.059
844,-36.465,-44.700,0.055
845,-38.287,-46.316,0.054
846,-38.454,-46.483,0.052
847,-33.009,-45.000,0.060
848,-22.289,-43.940,0.071
849,-26.076,-45.866,0.072
850,-37.488,-49.099,0.063
851,-42.137,-50.996,0.055
852,-43.054,-51.674,0.055
853,-42.713,-51.301,0.056
854,-42.055,-50.592,0.058
855,-41.498,-49.761,0.056
856,-40.905,-49.008,0.054
857,-39.866,-47.876,0.053
858,-37.729,-46.008,0.055
859,-33.498,-43.547,0.062
860,-29.366,-41.251,0.066
861,-30.205,-40.371,0.061
862,-31.477,-40.057,0.055
863,-31.346,-39.766,0.054
864,-30.816,-39.408,0.053
865,-31.053,-43.583,0.070
866,-32.083,-44.341,0.069
867,-34.776,-45.846,0.068
868,-37.357,-47.101,0.062
