Conformer,Initial PE (kcal/mol),Minimized PE (kcal/mol),RMS between initial and minimized conformer (Angstrom)
85,-77.937,-86.975,0.053
86,-78.793,-86.972,0.050
87,-79.241,-87.060,0.049
88,-79.337,-87.024,0.048
89,-78.875,-86.570,0.047
90,-77.572,-85.476,0.048
91,-75.140,-83.857,0.052
92,-72.501,-82.331,0.056
93,-71.444,-81.433,0.057
94,-71.025,-80.967,0.056
95,-70.442,-80.579,0.056
96,-70.058,-80.367,0.056
97,-77.161,-85.523,0.052
98,-77.939,-86.057,0.052
99,-79.640,-87.225,0.051
100,-81.501,-88.669,0.049
101,-82.776,-89.734,0.047
102,-81.922,-89.604,0.049
103,-76.873,-88.384,0.058
104,-73.137,-87.459,0.062
105,-75.897,-87.376,0.059
106,-77.373,-87.407,0.059
107,-77.031,-87.240,0.060
108,-78.043,-87.600,0.055
109,-80.185,-88.553,0.053
110,-81.991,-89.558,0.050
111,-83.106,-90.318,0.049
112,-83.518,-90.605,0.048
113,-83.122,-90.264,0.049
114,-81.633,-89.274,0.052
115,-79.167,-88.037,0.059
116,-78.061,-87.246,0.060
117,-78.751,-87.117,0.055
118,-79.035,-87.025,0.052
119,-78.514,-86.530,0.051
120,-77.604,-85.812,0.051
121,-79.008,-86.121,0.047
122,-79.878,-86.801,0.047
123,-81.274,-87.962,0.047
124,-82.864,-89.386,0.046
125,-84.198,-90.670,0.046
126,-84.023,-91.023,0.049
127,-78.227,-90.079,0.064
128,-65.408,-88.088,0.075
129,-66.153,-87.266,0.071
130,-77.265,-88.485,0.056
131,-81.485,-89.762,0.053
132,-82.093,-89.999,0.052
133,-82.385,-90.049,0.052
134,-82.978,-90.327,0.050
135,-83.595,-90.726,0.049
136,-83.834,-90.866,0.048
137,-83.254,-90.326,0.049
138,-81.105,-89.048,0.056
139,-74.993,-87.317,0.074
140,-64.075,-84.802,0.080
141,-66.362,-84.173,0.075
142,-74.817,-84.940,0.063
143,-77.848,-85.590,0.052
144,-78.614,-85.867,0.048
145,-74.884,-82.491,0.049
146,-76.700,-83.948,0.047
147,-78.293,-85.517,0.047
148,-80.488,-87.503,0.047
149,-81.393,-88.915,0.049
150,-80.125,-89.685,0.058
151,-82.004,-90.523,0.054
152,-81.494,-90.685,0.055
153,-71.983,-89.533,0.069
154,-65.754,-88.837,0.078
155,-76.114,-89.360,0.061
156,-83.220,-90.872,0.051
157,-84.189,-91.258,0.050
158,-83.745,-90.877,0.051
159,-83.262,-90.448,0.051
160,-82.762,-90.043,0.049
161,-81.793,-89.308,0.050
162,-79.907,-87.901,0.051
163,-78.071,-86.302,0.052
164,-75.361,-84.535,0.058
165,-69.553,-82.617,0.078
166,-64.044,-80.811,0.077
167,-68.164,-80.660,0.073
168,-72.667,-81.302,0.056
169,-76.915,-84.955,0.050
170,-78.865,-86.393,0.048
171,-81.302,-88.223,0.047
172,-83.578,-90.117,0.046
173,-85.129,-91.632,0.046
174,-85.835,-92.533,0.046
175,-84.537,-92.274,0.051
176,-74.396,-90.588,0.067
177,-53.073,-88.758,0.085
178,-58.127,-88.367,0.078
179,-78.248,-90.347,0.060
180,-84.626,-92.057,0.049
181,-85.121,-92.308,0.049
182,-84.940,-92.117,0.049
183,-84.975,-92.055,0.048
184,-84.966,-91.992,0.047
185,-84.511,-91.572,0.047
186,-83.285,-90.498,0.048
187,-80.807,-88.730,0.053
188,-75.080,-86.498,0.069
189,-62.844,-84.009,0.080
190,-60.721,-82.817,0.081
191,-71.018,-83.297,0.073
192,-75.247,-83.949,0.054
193,-75.677,-82.891,0.049
194,-75.104,-83.009,0.050
195,-63.996,-82.236,0.071
196,-42.774,-82.726,0.093
197,-64.315,-85.271,0.074
198,-81.491,-88.873,0.049
199,-82.265,-89.538,0.049
200,-73.063,-87.681,0.065
201,-58.639,-85.332,0.076
202,-65.139,-85.725,0.070
203,-77.862,-87.902,0.058
204,-81.523,-89.265,0.054
205,-81.787,-89.440,0.053
206,-81.357,-88.956,0.053
207,-78.995,-87.935,0.060
208,-75.571,-86.912,0.067
209,-78.958,-87.168,0.057
210,-79.604,-87.053,0.050
211,-76.335,-85.432,0.060
212,-67.217,-82.864,0.082
213,-55.409,-79.992,0.083
214,-62.900,-79.730,0.074
215,-71.680,-80.844,0.059
216,-74.510,-81.946,0.051
217,-71.715,-79.612,0.050
218,-73.428,-81.033,0.050
219,-74.126,-82.296,0.053
220,-70.289,-83.254,0.063
221,-68.764,-85.017,0.071
222,-77.825,-87.530,0.060
223,-79.156,-88.407,0.054
224,-70.295,-87.464,0.061
225,-68.103,-88.269,0.066
226,-78.682,-90.573,0.056
227,-84.819,-92.865,0.052
228,-85.813,-93.687,0.054
229,-84.828,-93.095,0.057
230,-83.378,-91.709,0.057
231,-81.795,-90.153,0.057
232,-79.472,-88.545,0.060
233,-77.890,-86.991,0.059
234,-77.114,-85.857,0.057
235,-72.884,-83.846,0.067
236,-64.459,-81.010,0.074
237,-62.630,-79.092,0.072
238,-67.415,-78.844,0.066
239,-69.558,-78.724,0.057
240,-70.496,-78.819,0.052
241,-73.753,-82.281,0.050
242,-75.622,-83.733,0.050
243,-77.858,-85.572,0.049
244,-79.558,-87.326,0.050
245,-78.200,-88.207,0.057
246,-76.777,-88.863,0.060
247,-80.683,-90.025,0.053
248,-81.048,-90.237,0.052
249,-74.996,-89.023,0.061
250,-72.745,-88.161,0.062
251,-79.180,-89.235,0.053
252,-82.662,-90.689,0.051
253,-82.820,-91.035,0.054
254,-82.436,-90.737,0.054
255,-82.089,-90.339,0.053
256,-81.440,-89.826,0.053
257,-79.729,-88.723,0.055
258,-77.411,-87.136,0.057
259,-76.166,-85.530,0.055
260,-73.706,-83.682,0.059
261,-68.985,-81.654,0.071
262,-66.487,-80.264,0.067
263,-69.807,-80.467,0.062
264,-72.269,-81.229,0.053
265,-73.983,-82.558,0.056
266,-76.074,-83.933,0.053
267,-78.057,-85.541,0.052
268,-80.433,-87.579,0.052
269,-82.510,-89.490,0.052
270,-83.365,-90.614,0.053
271,-83.886,-91.213,0.053
272,-81.663,-90.880,0.059
273,-73.332,-89.592,0.073
274,-69.391,-88.285,0.073
275,-77.386,-88.855,0.061
276,-82.150,-90.206,0.057
277,-82.531,-90.590,0.058
278,-82.131,-90.317,0.059
279,-81.870,-89.982,0.056
280,-81.606,-89.748,0.055
281,-81.019,-89.290,0.054
282,-79.702,-88.227,0.056
283,-77.687,-86.579,0.058
284,-74.502,-84.584,0.065
285,-68.432,-82.392,0.078
286,-62.600,-80.763,0.085
287,-66.777,-80.607,0.074
288,-71.584,-81.419,0.061
289,-76.865,-85.728,0.059
290,-77.875,-86.208,0.054
291,-79.491,-87.387,0.054
292,-81.223,-88.823,0.053
293,-82.595,-90.089,0.053
294,-82.331,-90.421,0.055
295,-76.216,-89.505,0.068
296,-63.911,-87.540,0.076
297,-65.731,-86.666,0.069
298,-75.760,-88.162,0.063
299,-79.163,-89.026,0.063
300,-79.718,-89.044,0.058
301,-80.270,-89.148,0.058
302,-81.119,-89.530,0.056
303,-81.936,-90.073,0.055
304,-82.345,-90.362,0.054
305,-82.008,-90.073,0.054
306,-80.361,-89.020,0.058
307,-75.927,-87.426,0.075
308,-68.520,-85.386,0.077
309,-69.014,-84.711,0.073
310,-74.164,-85.423,0.069
311,-76.161,-85.625,0.058
312,-76.565,-85.697,0.059
313,-69.323,-78.845,0.058
314,-71.218,-80.108,0.056
315,-73.961,-81.919,0.050
316,-76.594,-84.044,0.048
317,-78.362,-85.803,0.047
318,-79.430,-87.115,0.049
319,-79.737,-87.527,0.048
320,-74.087,-86.304,0.055
321,-57.948,-84.693,0.069
322,-57.906,-85.642,0.073
323,-75.893,-88.342,0.054
324,-83.473,-90.894,0.047
325,-84.423,-91.645,0.050
326,-84.076,-91.438,0.051
327,-83.646,-91.059,0.050
328,-83.089,-90.589,0.050
329,-82.159,-89.752,0.049
330,-80.590,-88.327,0.050
331,-78.121,-86.224,0.052
332,-73.972,-83.502,0.060
333,-67.265,-80.432,0.068
334,-64.116,-78.592,0.069
335,-67.090,-78.279,0.066
336,-68.519,-78.325,0.059
337,-69.209,-78.692,0.056
338,-71.846,-80.652,0.054
339,-75.120,-83.056,0.052
340,-78.082,-85.493,0.051
341,-80.423,-87.498,0.049
342,-81.063,-88.476,0.050
343,-77.222,-88.220,0.055
344,-74.161,-88.448,0.057
345,-79.568,-90.705,0.055
346,-84.889,-93.474,0.054
347,-86.591,-95.506,0.058
348,-86.413,-96.022,0.065
349,-85.320,-94.699,0.066
350,-83.865,-92.273,0.062
351,-82.739,-90.584,0.058
352,-81.879,-89.473,0.055
353,-80.861,-88.435,0.054
354,-79.184,-86.946,0.055
355,-76.280,-84.904,0.060
356,-72.878,-82.662,0.065
357,-70.973,-80.773,0.065
358,-69.620,-79.259,0.063
359,-68.286,-78.059,0.061
360,-67.975,-77.739,0.059
361,-78.547,-85.884,0.048
362,-79.189,-86.328,0.047
363,-80.545,-87.338,0.047
364,-82.074,-88.608,0.046
365,-82.959,-89.505,0.046
366,-81.281,-89.225,0.051
367,-75.867,-88.081,0.059
368,-73.983,-87.102,0.061
369,-76.621,-86.971,0.058
370,-76.813,-86.850,0.061
371,-76.460,-86.707,0.061
372,-78.333,-87.322,0.055
373,-80.778,-88.480,0.052
374,-82.444,-89.558,0.051
375,-83.465,-90.263,0.049
376,-83.872,-90.516,0.048
377,-83.469,-90.124,0.048
378,-81.775,-89.063,0.052
379,-78.484,-87.699,0.061
380,-76.746,-86.921,0.064
381,-78.032,-86.828,0.059
382,-78.885,-86.815,0.054
383,-78.854,-86.509,0.051
384,-78.605,-86.040,0.049
385,-74.928,-83.037,0.049
386,-76.185,-83.776,0.047
387,-77.863,-85.004,0.046
388,-79.596,-86.515,0.046
389,-81.011,-87.860,0.046
390,-80.962,-88.340,0.049
391,-75.309,-87.320,0.060
392,-62.493,-85.969,0.076
393,-63.192,-85.587,0.071
394,-74.324,-86.744,0.060
395,-78.457,-87.705,0.056
396,-79.044,-87.765,0.053
397,-79.492,-87.782,0.052
398,-80.221,-88.109,0.051
399,-80.935,-88.590,0.050
400,-81.287,-88.880,0.049
401,-80.947,-88.601,0.050
402,-79.390,-87.464,0.051
403,-75.223,-85.624,0.066
404,-66.666,-83.262,0.075
405,-63.939,-82.009,0.075
406,-70.019,-82.492,0.071
407,-73.152,-82.667,0.056
408,-74.164,-82.795,0.051
409,-76.737,-85.663,0.053
410,-77.941,-86.296,0.052
411,-79.815,-87.466,0.049
412,-81.687,-88.892,0.048
413,-83.062,-90.100,0.047
414,-82.330,-90.195,0.050
415,-75.366,-88.959,0.062
416,-65.877,-87.212,0.071
417,-70.003,-86.767,0.064
418,-76.566,-87.459,0.059
419,-78.116,-87.615,0.054
420,-78.755,-87.812,0.054
421,-79.961,-88.402,0.053
422,-81.228,-89.206,0.052
423,-82.204,-89.933,0.051
424,-82.686,-90.344,0.050
425,-82.503,-90.200,0.050
426,-81.311,-89.300,0.052
427,-78.353,-87.889,0.061
428,-74.204,-86.500,0.072
429,-74.024,-86.136,0.071
430,-76.005,-86.121,0.062
431,-76.673,-85.997,0.056
432,-76.551,-85.694,0.054
433,-76.037,-84.146,0.049
434,-50.548,-82.217,0.084
435,158.465,-81.023,0.136
436,232.580,-81.378,0.133
437,-36.923,-87.648,0.098
438,-82.453,-91.534,0.055
439,-85.367,-92.890,0.048
440,-83.032,-92.402,0.056
441,-75.539,-91.173,0.072
442,-73.882,-90.380,0.069
443,-80.993,-91.303,0.060
444,-84.234,-92.175,0.052
445,-83.637,-91.716,0.055
446,-76.816,-90.123,0.075
447,-45.709,-88.043,0.105
448,-59.166,-87.177,0.089
449,-80.068,-88.776,0.059
450,-81.273,-88.998,0.053
451,-79.522,-87.761,0.057
452,-75.828,-86.075,0.070
453,-70.782,-83.905,0.074
454,-71.726,-82.935,0.067
455,-75.569,-83.390,0.052
456,-77.108,-84.282,0.047
457,-74.513,-84.545,0.057
458,-76.795,-86.027,0.057
459,-80.043,-87.881,0.049
460,-82.763,-89.764,0.047
461,-83.905,-91.038,0.047
462,-84.364,-91.836,0.048
463,-84.300,-91.898,0.048
464,-76.740,-90.526,0.061
465,-57.153,-88.677,0.080
466,-57.855,-88.041,0.076
467,-77.300,-89.894,0.056
468,-84.529,-91.841,0.047
469,-85.219,-92.258,0.047
470,-85.009,-92.040,0.047
471,-84.984,-91.893,0.046
472,-84.913,-91.764,0.046
473,-84.471,-91.326,0.045
474,-83.462,-90.373,0.045
475,-81.738,-88.837,0.046
476,-78.669,-86.741,0.053
477,-73.550,-84.476,0.063
478,-70.692,-83.223,0.070
479,-72.753,-83.131,0.059
480,-73.776,-83.595,0.055
481,-72.149,-82.397,0.059
482,-74.121,-83.781,0.059
483,-76.885,-85.603,0.056
484,-79.537,-87.293,0.050
485,-81.582,-88.916,0.049
486,-82.232,-89.583,0.049
487,-77.256,-88.699,0.063
488,-52.314,-86.799,0.088
489,-24.614,-84.057,0.091
490,-51.709,-84.679,0.078
491,-75.363,-87.410,0.060
492,-80.311,-88.952,0.055
493,-80.717,-89.107,0.053
494,-80.766,-89.077,0.054
495,-81.024,-89.211,0.054
496,-81.204,-89.291,0.053
497,-80.949,-88.967,0.053
498,-79.873,-87.893,0.053
499,-77.287,-86.070,0.059
500,-71.043,-83.674,0.073
501,-60.938,-81.314,0.085
502,-62.584,-80.320,0.077
503,-69.136,-80.946,0.070
504,-71.164,-81.593,0.062
505,-7.767,-67.836,0.107
506,2622.244,-51.464,0.336
507,201959.634,83.630,1.069
508,164834.671,76.712,1.013
509,1877.200,11.971,0.402
510,-27.836,-76.076,0.105
511,-63.934,-80.383,0.066
512,-72.464,-82.482,0.056
513,-70.007,-82.263,0.057
514,-68.929,-82.411,0.059
515,-74.450,-83.570,0.051
516,-76.310,-84.091,0.051
517,-65.557,-83.356,0.091
518,213.129,-79.723,0.157
519,3188.653,53.248,0.454
520,624.728,-27.202,0.487
521,-51.948,-78.428,0.095
522,-71.684,-79.473,0.054
523,-72.229,-79.204,0.049
524,-70.889,-77.921,0.049
525,-69.026,-76.198,0.050
526,-67.799,-74.991,0.047
527,-66.737,-74.382,0.049
528,-62.648,-72.734,0.058
529,-70.294,-78.354,0.049
530,-72.288,-79.791,0.048
531,-74.703,-81.760,0.047
532,-76.911,-83.884,0.047
533,-79.573,-86.218,0.046
534,-81.143,-87.649,0.045
535,-76.665,-86.929,0.052
536,-60.586,-85.232,0.067
537,-56.329,-85.748,0.070
538,-74.466,-88.881,0.057
539,-84.719,-92.007,0.047
540,-87.138,-93.609,0.047
541,-86.695,-93.588,0.051
542,-85.385,-92.546,0.052
543,-84.110,-91.303,0.052
544,-82.966,-90.202,0.051
545,-81.683,-88.941,0.051
546,-79.586,-87.134,0.053
547,-75.301,-84.517,0.060
548,-66.890,-81.214,0.067
549,-62.150,-79.070,0.070
550,-66.505,-78.560,0.068
551,-68.847,-78.144,0.058
552,-69.383,-77.905,0.052
553,-78.902,-86.001,0.049
554,-79.525,-86.383,0.049
555,-80.723,-87.321,0.049
556,-82.153,-88.561,0.049
557,-83.219,-89.574,0.048
558,-82.343,-89.505,0.051
559,-76.936,-88.206,0.059
560,-72.275,-86.929,0.061
561,-75.728,-87.082,0.058
562,-78.459,-87.603,0.055
563,-78.543,-87.687,0.056
564,-79.171,-87.910,0.056
565,-80.682,-88.548,0.054
566,-82.135,-89.368,0.052
567,-83.175,-90.087,0.051
568,-83.633,-90.398,0.050
569,-83.240,-89.991,0.049
570,-81.395,-88.800,0.054
571,-77.012,-87.180,0.067
572,-73.437,-85.853,0.069
573,-75.788,-85.933,0.066
574,-78.110,-86.336,0.057
575,-78.771,-86.408,0.052
576,-78.812,-86.143,0.050
577,-75.240,-83.565,0.053
578,-72.719,-82.986,0.058
579,-49.346,-82.081,0.095
580,53.818,-81.808,0.127
581,42.629,-82.948,0.127
582,-61.085,-85.344,0.080
583,-76.659,-87.396,0.058
584,-66.785,-86.327,0.070
585,-63.471,-85.708,0.073
586,-73.704,-87.074,0.065
587,-79.089,-88.619,0.058
588,-80.032,-89.132,0.058
589,-80.103,-89.102,0.058
590,-79.445,-88.581,0.059
591,-73.161,-87.771,0.082
592,-46.214,-86.269,0.103
593,-56.141,-85.035,0.090
594,-75.188,-85.342,0.062
595,-73.254,-84.587,0.068
596,-63.960,-82.166,0.078
597,-62.921,-81.081,0.074
598,-70.500,-81.782,0.064
599,-73.894,-82.575,0.053
600,-74.956,-83.190,0.053
601,-78.597,-86.115,0.048
602,-78.625,-86.289,0.049
603,-74.042,-85.633,0.060
604,-50.654,-85.457,0.092
605,-37.525,-85.736,0.099
606,-69.919,-87.247,0.069
607,-77.597,-88.699,0.058
608,-67.579,-87.604,0.069
609,-66.971,-86.776,0.068
610,-76.423,-87.823,0.058
611,-80.351,-88.902,0.054
612,-81.018,-89.328,0.057
613,-81.353,-89.416,0.054
614,-81.690,-89.506,0.053
615,-80.887,-89.185,0.057
616,-75.059,-88.527,0.077
617,-71.574,-87.613,0.080
618,-77.988,-87.347,0.062
619,-75.888,-86.622,0.069
620,-67.326,-84.730,0.077
621,-67.384,-83.856,0.073
622,-74.215,-84.589,0.064
623,-77.127,-85.280,0.053
624,-78.068,-85.737,0.050
625,-71.315,-78.828,0.048
626,-72.797,-80.023,0.047
627,-74.810,-81.701,0.047
628,-76.985,-83.623,0.047
629,-78.850,-85.337,0.047
630,-78.893,-85.957,0.048
631,-73.239,-85.370,0.058
632,-65.850,-85.328,0.065
633,-72.257,-87.411,0.062
634,-80.684,-90.328,0.061
635,-82.943,-91.715,0.060
636,-82.482,-91.533,0.063
637,-81.591,-90.053,0.060
638,-80.983,-88.831,0.056
639,-80.654,-88.106,0.053
640,-80.223,-87.489,0.051
641,-79.187,-86.506,0.051
642,-76.718,-84.802,0.057
643,-70.931,-82.519,0.074
644,-63.555,-79.944,0.076
645,-65.022,-78.488,0.073
646,-68.525,-78.113,0.061
647,-69.796,-78.052,0.053
648,-70.452,-78.214,0.049
649,-76.977,-85.721,0.052
650,-78.058,-86.320,0.051
651,-79.988,-87.515,0.049
652,-81.906,-88.931,0.047
653,-83.094,-90.050,0.047
654,-81.225,-89.999,0.053
655,-71.717,-88.612,0.067
656,-64.135,-86.906,0.071
657,-70.958,-86.600,0.064
658,-75.743,-87.034,0.062
659,-76.398,-87.051,0.060
660,-78.016,-87.396,0.053
661,-80.405,-88.427,0.052
662,-82.106,-89.416,0.049
663,-83.089,-90.097,0.048
664,-83.473,-90.442,0.047
665,-83.135,-90.224,0.048
666,-81.642,-89.317,0.053
667,-78.203,-87.933,0.064
668,-74.763,-86.669,0.072
669,-75.656,-86.212,0.064
670,-77.178,-86.318,0.059
671,-77.403,-86.135,0.054
672,-77.012,-85.781,0.053
673,-76.820,-84.336,0.049
674,-78.203,-85.495,0.049
675,-78.767,-86.505,0.050
676,-80.150,-88.154,0.051
677,-83.544,-90.560,0.050
678,-85.216,-92.023,0.049
679,-84.631,-92.039,0.051
680,-79.113,-90.792,0.062
681,-66.277,-89.418,0.084
682,-65.272,-88.155,0.076
683,-77.127,-89.066,0.060
684,-82.088,-90.292,0.053
685,-82.558,-90.567,0.055
686,-82.370,-90.301,0.056
687,-82.188,-90.026,0.053
688,-82.083,-89.930,0.052
689,-81.900,-89.833,0.052
690,-80.861,-89.000,0.053
691,-78.504,-87.417,0.058
692,-73.272,-85.663,0.080
693,-63.152,-83.240,0.084
694,-62.387,-82.041,0.081
695,-71.124,-82.478,0.069
696,-75.065,-83.289,0.053
697,-69.819,-78.227,0.052
698,-71.635,-79.504,0.051
699,-74.023,-81.483,0.050
700,-76.503,-83.750,0.050
701,-78.712,-85.863,0.050
702,-80.011,-87.142,0.049
703,-77.675,-86.763,0.054
704,-64.872,-85.072,0.066
705,-53.635,-84.336,0.070
706,-68.552,-87.157,0.062
707,-81.661,-90.532,0.053
708,-85.101,-92.283,0.048
709,-85.115,-92.531,0.051
710,-84.278,-91.992,0.053
711,-83.402,-91.267,0.053
712,-82.529,-90.493,0.054
713,-81.337,-89.490,0.054
714,-79.234,-87.488,0.052
715,-74.902,-84.942,0.063
716,-64.540,-81.605,0.077
717,-53.314,-78.723,0.082
718,-60.493,-77.849,0.075
719,-66.975,-77.893,0.065
720,-68.710,-77.837,0.057
721,-73.372,-83.040,0.051
722,-75.184,-84.455,0.050
723,-77.706,-86.274,0.050
724,-80.185,-88.206,0.049
725,-82.089,-89.895,0.049
726,-82.481,-90.577,0.050
727,-76.649,-89.895,0.067
728,-49.076,-87.691,0.091
729,-21.109,-85.095,0.097
730,-51.733,-85.538,0.083
731,-75.602,-87.736,0.058
732,-80.289,-89.325,0.053
733,-80.635,-89.574,0.054
734,-80.680,-89.469,0.054
735,-80.875,-89.512,0.054
736,-80.903,-89.469,0.053
737,-80.396,-88.971,0.053
738,-78.883,-87.709,0.055
739,-75.307,-85.675,0.061
740,-66.322,-83.231,0.078
741,-56.011,-81.058,0.084
742,-63.234,-80.625,0.074
743,-70.409,-81.545,0.065
744,-72.371,-82.187,0.053
745,-70.362,-79.495,0.056
746,-72.774,-81.196,0.053
747,-75.587,-83.366,0.050
748,-78.078,-85.530,0.049
749,-80.253,-87.538,0.049
750,-81.195,-88.697,0.049
751,-77.642,-88.452,0.053
752,-72.730,-88.665,0.060
753,-77.246,-90.516,0.059
754,-83.434,-93.322,0.062
755,-85.002,-95.294,0.065
756,-84.218,-95.729,0.073
757,-83.287,-94.359,0.074
758,-82.448,-92.031,0.064
759,-81.783,-90.578,0.060
760,-81.169,-89.629,0.058
761,-80.287,-88.677,0.057
762,-78.684,-87.372,0.059
763,-75.578,-85.324,0.064
764,-71.280,-82.811,0.070
765,-69.390,-80.944,0.069
766,-69.257,-79.716,0.064
767,-68.886,-78.785,0.058
768,-69.021,-78.672,0.058
769,-66.545,-75.732,0.054
770,-68.577,-77.190,0.053
771,-70.970,-79.146,0.052
772,-73.254,-81.296,0.052
773,-74.925,-83.072,0.053
774,-75.856,-84.207,0.053
775,-75.412,-84.403,0.054
776,-68.325,-82.942,0.063
777,-51.768,-81.474,0.077
778,-54.100,-81.400,0.072
779,-71.117,-83.645,0.057
780,-77.423,-85.651,0.050
781,-77.996,-86.057,0.051
782,-77.572,-85.726,0.051
783,-77.151,-85.446,0.051
784,-76.650,-85.094,0.052
785,-75.764,-84.413,0.052
786,-74.153,-83.088,0.054
787,-71.380,-81.283,0.060
788,-65.612,-78.803,0.075
789,-53.800,-75.770,0.082
790,-50.972,-73.977,0.078
791,-60.490,-74.254,0.069
792,-64.702,-74.777,0.057
793,-78.473,-85.783,0.048
794,-79.351,-86.351,0.047
795,-80.857,-87.462,0.047
796,-82.490,-88.832,0.046
797,-83.695,-89.921,0.045
798,-82.933,-89.826,0.047
799,-77.156,-88.359,0.058
800,-71.043,-86.910,0.060
801,-74.719,-86.923,0.055
802,-78.686,-87.666,0.055
803,-79.350,-87.832,0.052
804,-79.898,-88.068,0.052
805,-81.124,-88.719,0.051
806,-82.415,-89.510,0.049
807,-83.373,-90.186,0.047
808,-83.759,-90.439,0.046
809,-83.330,-89.992,0.046
810,-81.591,-88.732,0.050
811,-77.641,-87.067,0.063
812,-73.955,-85.679,0.066
813,-75.648,-85.625,0.061
814,-77.807,-86.036,0.055
815,-78.413,-86.053,0.050
816,-78.343,-85.804,0.049
817,-72.231,-82.075,0.056
818,-74.271,-83.385,0.054
819,-77.164,-85.174,0.049
820,-79.878,-87.144,0.047
821,-81.862,-88.846,0.046
822,-82.730,-89.785,0.046
823,-80.097,-89.402,0.055
824,-63.222,-87.484,0.074
825,-32.599,-85.386,0.087
826,-46.829,-85.703,0.079
827,-74.255,-87.992,0.059
828,-81.629,-89.742,0.049
829,-82.271,-90.033,0.050
830,-82.156,-89.819,0.049
831,-82.241,-89.764,0.048
832,-82.306,-89.777,0.047
833,-81.984,-89.453,0.047
834,-80.913,-88.493,0.047
835,-78.558,-86.748,0.052
836,-73.355,-84.225,0.063
837,-64.013,-81.739,0.075
838,-62.982,-80.692,0.074
839,-69.099,-80.964,0.067
840,-71.260,-81.348,0.058
841,-79.015,-86.013,0.046
842,-79.910,-86.777,0.047
843,-81.447,-88.046,0.047
844,-83.176,-89.560,0.046
845,-84.593,-90.870,0.046
846,-84.459,-91.169,0.047
847,-78.753,-89.986,0.061
848,-66.329,-87.979,0.072
849,-67.454,-87.446,0.067
850,-78.373,-88.849,0.056
851,-82.493,-90.079,0.049
852,-83.068,-90.404,0.050
853,-83.276,-90.444,0.050
854,-83.778,-90.647,0.049
855,-84.311,-90.956,0.047
856,-84.470,-90.986,0.046
857,-83.844,-90.349,0.047
858,-81.761,-88.905,0.052
859,-76.318,-87.006,0.070
860,-67.849,-84.803,0.077
861,-70.160,-84.259,0.072
862,-76.411,-85.001,0.058
863,-78.506,-85.553,0.047
864,-78.825,-85.749,0.046
865,-70.486,-79.230,0.053
866,-72.249,-80.469,0.052
867,-74.803,-82.426,0.051
868,-77.447,-84.624,0.050
869,-79.744,-86.686,0.049
