Conformer,Initial PE (kcal/mol),Minimized PE (kcal/mol),RMS between initial and minimized conformer (Angstrom)
1,-71.296,-79.133,0.049
2,-73.086,-80.447,0.048
3,-75.448,-82.380,0.047
4,-77.849,-84.584,0.047
5,-79.864,-86.583,0.048
6,-81.057,-87.856,0.047
7,-79.617,-87.733,0.052
8,-68.351,-86.020,0.065
9,-50.082,-84.461,0.076
10,-60.955,-86.065,0.069
11,-79.380,-89.438,0.055
12,-84.837,-91.653,0.047
13,-85.314,-92.203,0.050
14,-84.884,-91.936,0.051
15,-84.383,-91.500,0.050
16,-83.734,-90.929,0.050
17,-82.621,-89.916,0.050
18,-80.596,-88.194,0.053
19,-76.777,-85.833,0.065
20,-67.966,-82.919,0.083
21,-53.373,-79.529,0.084
22,-57.269,-78.072,0.078
23,-67.143,-78.312,0.068
24,-70.032,-78.486,0.052
25,-77.317,-85.422,0.051
26,-78.181,-86.153,0.051
27,-78.870,-86.839,0.051
28,-77.537,-87.298,0.057
29,-75.900,-87.974,0.061
30,-78.869,-88.926,0.061
31,-73.861,-88.332,0.063
32,-61.119,-86.676,0.073
33,-65.169,-85.990,0.066
34,-75.213,-86.998,0.058
35,-78.150,-87.609,0.057
36,-79.188,-87.851,0.052
37,-80.511,-88.285,0.052
38,-81.634,-88.841,0.051
39,-82.260,-89.254,0.050
40,-82.179,-89.254,0.051
41,-81.404,-88.829,0.053
42,-80.325,-88.115,0.056
43,-76.517,-86.812,0.068
44,-69.346,-84.866,0.074
45,-69.456,-83.832,0.069
46,-74.157,-84.345,0.065
47,-76.205,-84.738,0.057
48,-76.856,-85.029,0.053
49,-46.056,-79.093,0.092
50,725.696,-69.744,0.272
51,8091.996,-68.369,0.221
52,2386.915,-36.080,0.449
53,28.556,-80.627,0.124
54,-20.428,-83.995,0.090
55,-49.593,-87.950,0.084
56,-78.793,-90.368,0.056
57,-81.487,-91.156,0.056
58,-80.608,-90.945,0.058
59,-83.161,-91.310,0.050
60,-84.099,-91.588,0.052
61,-78.160,-90.564,0.079
62,-0.652,-87.779,0.120
63,130.539,-83.250,0.133
64,-48.379,-84.472,0.098
65,-75.727,-85.910,0.067
66,-74.644,-85.618,0.068
67,-76.758,-85.106,0.057
68,-76.853,-84.394,0.051
69,-75.668,-83.225,0.051
70,-75.118,-82.478,0.049
71,-75.010,-82.487,0.049
72,-73.399,-82.030,0.053
73,-70.519,-80.653,0.055
74,-72.191,-81.666,0.054
75,-74.650,-83.202,0.051
76,-77.142,-84.987,0.049
77,-79.057,-86.451,0.047
78,-79.005,-86.983,0.047
79,-75.402,-86.879,0.054
80,-73.901,-87.165,0.057
81,-77.261,-88.211,0.057
82,-77.939,-88.951,0.062
83,-76.320,-88.594,0.066
84,-76.543,-87.630,0.062
