Conformer,Initial PE (kcal/mol),Minimized PE (kcal/mol),RMS between initial and minimized conformer (Angstrom)
2217,251.626,-105.730,0.123
2218,141.533,-106.925,0.110
2219,-63.783,-111.303,0.084
2220,-102.475,-114.097,0.066
2221,-106.307,-115.260,0.062
2222,-107.052,-115.580,0.061
2223,-107.385,-115.452,0.058
2224,-107.018,-114.977,0.057
2225,-105.996,-114.205,0.058
2226,-104.244,-112.527,0.059
2227,-99.862,-110.205,0.072
2228,-84.757,-106.549,0.091
2229,-66.024,-103.322,0.097
2230,-80.420,-102.703,0.089
2231,-86.283,-103.240,0.088
2232,-79.322,-103.270,0.089
2233,-56.854,-103.190,0.089
2234,-68.400,-106.580,0.092
2235,-88.473,-110.538,0.087
2236,-101.463,-113.762,0.067
2237,-106.811,-115.229,0.051
2238,-101.835,-114.554,0.062
2239,-59.602,-112.363,0.088
2240,13.337,-109.345,0.100
2241,-28.820,-110.808,0.105
2242,-80.332,-112.019,0.090
2243,-91.617,-112.833,0.087
2244,-95.954,-112.775,0.078
2245,-102.196,-113.530,0.060
2246,-106.912,-115.197,0.050
2247,-108.977,-116.228,0.045
2248,-109.158,-116.293,0.043
2249,-108.437,-115.603,0.043
2250,-107.545,-114.295,0.041
2251,-106.421,-112.747,0.040
2252,-105.589,-111.756,0.039
2253,-104.274,-110.986,0.041
2254,-99.656,-109.317,0.052
2255,-87.966,-106.387,0.067
2256,-68.570,-103.427,0.079
2257,-42.715,-97.479,0.092
2258,-53.573,-100.722,0.090
2259,-77.667,-105.907,0.089
2260,-94.275,-110.426,0.078
2261,-102.392,-113.260,0.058
2262,-102.486,-113.764,0.056
2263,-79.479,-112.310,0.081
2264,-25.150,-109.464,0.091
2265,-34.452,-111.320,0.101
2266,-74.209,-115.620,0.097
2267,-86.162,-121.769,0.108
2268,-95.395,-125.140,0.100
2269,-110.035,-126.589,0.075
2270,-116.896,-126.576,0.057
2271,-115.947,-124.717,0.054
2272,-112.603,-121.410,0.051
2273,-109.266,-118.375,0.051
2274,-106.955,-115.747,0.049
2275,-105.277,-113.119,0.045
2276,-103.117,-110.606,0.043
2277,-100.072,-108.373,0.047
2278,-94.214,-105.547,0.056
2279,-81.214,-101.729,0.073
2280,-58.949,-97.895,0.082
